GitAuthor,ProjectName,CommitID,CommitMessage,Lsof ModifiedFiles
duxuhao,duxuhao/Feature-Selection,bccd10475ca3852a49d8cd80fa41efc647abac89,"fix demo confuse
","['MLFeatureSelection/__init__.py', 'FeatureSelection.py', 'FeatureSelection.py', 'README.md', 'demo.py']"
duxuhao,duxuhao/Feature-Selection,c6babf1c6903cc660956865de4bc955911f3e462,"add titanic example
",['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,2d63d04e12f92dac30982d42b8c7afded7c10590,Update README.md,"['example/titanic/Select.py', 'example/titanic/clean_train.csv']"
Xuhao Du (Peter),duxuhao/Feature-Selection,8532f580465854e0c48705a5b133e7cc281bf638,Add files via upload,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,8965e60ac71409f5268cc20316c8622ee93f4dc5,Delete Procedure2.png,['Procedure0.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,2dd1d8857648914d8596266fa3198a928d5361ca,Add files via upload,['Procedure2.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,85711a7653a6a74c4a94084956c512fe771bce38,Delete Procedure2.png,['Procedure2.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,cd1b022fef6083bbc1878fca223ded2ed5e14e64,"Merge pull request #2 from duxuhao/add-license-1

Create LICENSE",['Procedure2.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,3d5bd3caca4ad71997c374129eec23b4e4432fb3,Create LICENSE,[]
Xuhao Du (Peter),duxuhao/Feature-Selection,885b5994e5c7130a14efd9def474c5a54da32e8e,Update README.md,['LICENSE']
Xuhao Du (Peter),duxuhao/Feature-Selection,38358325d734e11f6a7d159d170356ebfad68347,Update README.md,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,17b19cf0eb6cc142505db87aa6e03a1775ee60be,Update FeatureSelection.py,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,c4c8aa922269bac2afa6eaba39d5c289734ef633,Update README.md,['FeatureSelection.py']
Xuhao Du (Peter),duxuhao/Feature-Selection,5c8bd01c1a4838f9a3484287dc6a8d8b1c962a72,Add files via upload,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,34925804de745e57f457d26d1a7b485849d416e5,Delete Procedure.png,['Procedure2.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,3015d14d46eefb0b40c662af9f692a7aa3cbf7a0,Add files via upload,['Procedure.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,069fdb45ad95203f25c4c5d80997b6aad2c710a6,Delete Procedure.png,['Procedure.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,e1dd8027014b9384ce5dbd73d842b4f75ab9eaab,Update README.md,['Procedure.png']
Xuhao Du (Peter),duxuhao/Feature-Selection,3fb3c1736b630cadced1085593f79a1da9f53b41,Update README.md,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,9828db251f70bfe40f084f21f6b62e75924d1486,Update README.md,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,21a74fd574dac9f2664c2ba5f0bb500ce86d0e5e,Update demo.py,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,3861f8d1bb7c531b017f95627a0bb65615644e7f,Update FeatureSelection.py,['demo.py']
Xuhao Du (Peter),duxuhao/Feature-Selection,a14ade1144149adc592482ca6218f5d1d5f9d44a,Update README.md,['FeatureSelection.py']
Xuhao Du (Peter),duxuhao/Feature-Selection,3b8752bc782f50b7c73fa1169a44df12eec4cf0c,Update demo.py,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,0d2bcb328b64633ba189d9d65974fd89a90fd1d2,Update README.md,['demo.py']
Xuhao Du (Peter),duxuhao/Feature-Selection,a4543dcd902ed69bd2cb86cc38ad109226313d5c,Update demo.py,['README.md']
Xuhao Du (Peter),duxuhao/Feature-Selection,1746fbc0474995b0409ed9e4655826269d213b64,Update README.md,['demo.py']
duxuhao,duxuhao/Feature-Selection,f5aac66be45f66ff6c7648a770b075dda71d3428,"update FeatureSelection
",['README.md']
duxuhao,duxuhao/Feature-Selection,dd867e766a6f70d14b9bee827563d3af09500221,"fix README.md
","['FeatureSelection.py', 'README.md']"
duxuhao,duxuhao/Feature-Selection,31b1cedbbdd5feb80a9fda7dbcd613b6d26c9652,"write into class
",['README.md']
duxuhao,duxuhao/Feature-Selection,1c0a98b831c949dc9703e913d058563e3b15df23,"remove the unnecessary library
","['demo.py', 'requirements.txt', 'LRS_SA_RGSS.py', 'FeatureSelection.py', 'README.md']"
Xuhao Du (Peter),duxuhao/Feature-Selection,243f512fa3168e6211680f64febe9f4a77bb3dd8,"add """"""","['FeatureSelection.py', 'LRS_SA_RGSS.py']"
Xuhao Du (Peter),duxuhao/Feature-Selection,7d21208aecb4b53ecf501c71fdec7c9a4b35f0df,remove import library utility,['LRS_SA_RGSS.py']
Xuhao Du (Peter),duxuhao/Feature-Selection,04cb626567fdd0a9f75896040be30fcccf084a2b,Update README.md,['FeatureSelection.py']
Xuhao Du (Peter),duxuhao/Feature-Selection,0764357d4a9952e6268723b7f8ae56c75ddf76e3,Update README.md,['README.md']
duxuhao,duxuhao/Feature-Selection,2619f2944d69f2052ff260ba527891013016d038,"update
",['README.md']
duxuhao,duxuhao/Feature-Selection,33d59f5f499b09e5affab35075476edefc0b7892,"update
",['README.md']
duxuhao,duxuhao/Feature-Selection,a6590c79a6f59d4372002c8dadb95203412d3a9e,"first commit
",['README.md']
